shelter,address,city,county,state,zip,longitude,latitude,phone,accepting,notes,source,private_notes,allow_pets,pets,unofficial,accessibility,active
JCPS Central High School,"1130 West Chestnut Street, , Louisville, KY  40203",Louisville,Jefferson,KY,40203,-85.770589,38.25034252,5024858226,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19854,"Evacuation Capacity: 250

Longterm Capacity: 125",false,Unknown,false,"",true
JCPS Dupont Manual High School,"120 West Lee Street, , Louisville, KY  40208",Louisville,Jefferson,KY,40208,-85.75773178,38.22290341,5024858241,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19855,"Evacuation Capacity: 350

Longterm Capacity: 175",false,Unknown,false,"",true
JCPS Eastern High School,"12400 Old Shelbyville Road, , Louisville, KY  40243",Louisville,Jefferson,KY,40243,-85.52616019,38.24395259,5024858121,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19856,"Evacuation Capacity: 1175

Longterm Capacity: 587",false,Unknown,false,"",true
JCPS Fern Creek Traditional High School,"9115 Fern Creek Road, , Louisville, KY  40291",Louisville,Jefferson,KY,40291,-85.59267332,38.15357957,5024858251,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19857,"Evacuation Capacity: 10

Longterm Capacity: 0",false,Unknown,false,"",true
JCPS Iroquois High School,"4615 Taylor Boulevard, , Louisville, KY  40215",Louisville,Jefferson,KY,40215,-85.78194336,38.1725976,5024858269,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19858,"Evacuation Capacity: 10

Longterm Capacity: 0",false,Unknown,false,"",true
JCPS Liberty High School,"3307 East Indian Trail, , Louisville, KY  40213",Louisville,Jefferson,KY,40213,-85.70428662,38.16873347,5029625660,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19861,"Evacuation Capacity: 10

Longterm Capacity: 0",false,Unknown,false,"",true
JCPS Louisville Male High School,"4409 Preston Highway, , Louisville, KY  40213",Louisville,Jefferson,KY,40213,-85.72275328,38.18456503,5024858292,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19862,"Evacuation Capacity: 10

Longterm Capacity: 0",false,No,false,"",true
JCPS Pleasure Ridge Park High School,"5901 Greenwood Road, , Louisville, KY  40258",Louisville,Jefferson,KY,40258,-85.86303695,38.14448257,5024858311,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19863,"Evacuation Capacity: 10

Longterm Capacity: 0",false,No,false,"",true
JCPS Southern High School,"8620 Preston Highway, , Louisville, KY  40219",Louisville,Jefferson,KY,40219,-85.68103502,38.12799833,5024858330,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19864,"Evacuation Capacity: 10

Longterm Capacity: 0",false,Unknown,false,"",true
JCPS Waggener High School,"330 South Hubbards Lane, , Louisville, KY  40207",Louisville,Jefferson,KY,40207,-85.63738531,38.24650106,5024858340,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19865,"Evacuation Capacity: 10

Longterm Capacity: 0",false,No,false,"",true
JCPS Western High School,"2201 West Main Street, , Louisville, KY  40216",Louisville,Jefferson,KY,40216,-85.84322226,38.17643006,5024858344,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19866,"Evacuation Capacity: 10

Longterm Capacity: 0",false,Unknown,false,"",true
New Life Church,"3402 Goose Creek Road, , LOUISVILLE, KY  40241",LOUISVILLE,JEFFERSON,KY,40241,-85.58936704,38.29615437,5024263132,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19869,"Evacuation Capacity: 560

Longterm Capacity: 280",false,Unknown,false,"",true
North Oldham Middle School,"1801 South Highway 1793, , GOSHEN, KY  40026",GOSHEN,OLDHAM,KY,40026,-85.59194821,38.39909916,5022289998,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19870,"Evacuation Capacity: 0

Longterm Capacity: 232",false,Unknown,false,"",true
Oldham County Middle School,"4305 West Highway 146, , BUCKNER, KY  40010",BUCKNER,OLDHAM,KY,40010,-85.44156665,38.38291666,5022221451,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19871,"Evacuation Capacity: 0

Longterm Capacity: 190",false,Unknown,false,"",true
Ohio County Community Center,"2300 State Route 69 N, , HARTFORD, KY  42347",HARTFORD,OHIO,KY,42347,-85.86361619,37.69056138,2702984460,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19872,"Evacuation Capacity: 500

Longterm Capacity: 0",false,Unknown,false,"",true
Severns Valley Baptist Church,"1100 Ring Road, , ELIZABETHTOWN, KY  42701",ELIZABETHTOWN,HARDIN,KY,42701,-85.86511982,37.70036138,2707657822,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19874,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Shawnee Baptist Church,"2214 Bank Street, , LOUISVILLE, KY  40212",LOUISVILLE,JEFFERSON,KY,40212,-85.78464886,38.26704932,5027758431,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19875,"Evacuation Capacity: 315

Longterm Capacity: 157",false,No,false,"",true
Shelby Christian Church,"2375 Frankfort Road, , SHELBYVILLE, KY  40065",SHELBYVILLE,SHELBY,KY,40065,-85.16230936,38.20605634,5026335975,no,General Notes: Contact info verified on 2/3/17 Agreement updated on 06/29/2018,SHAKEN_FURY_2019_BATCH_1_ID:19876,"Evacuation Capacity: 375

Longterm Capacity: 187",false,Unknown,false,"",true
Wright Elementary School,"500 Rocket Lane, , SHELBYVILLE, KY  40065",SHELBYVILLE,SHELBY,KY,40065,-85.17771632,38.21605041,5026470234,no,General Notes: Contact info verified on 2/2/16,SHAKEN_FURY_2019_BATCH_1_ID:19877,"Evacuation Capacity: 50

Longterm Capacity: 0",false,No,false,"",true
Simpsonville Baptist Church,"7208 Shelbyville Road, , Simpsonville, KY  40067",Simpsonville,Shelby,KY,40067,-85.32030441,38.21943844,5027225246,no,"Directions to Facility: I-64 to Simpsonville exit, Veechdale Rd; left at light onto US 60; approximately 2 miles on left",SHAKEN_FURY_2019_BATCH_1_ID:19878,"Evacuation Capacity: 200

Longterm Capacity: 100",false,Unknown,false,"",true
South Oldham High School,"5900 Highway 329 Bypass, , CRESTWOOD, KY  40014",CRESTWOOD,OLDHAM,KY,40014,-85.46614868,38.32937632,5022416681,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19879,"Evacuation Capacity: 1435

Longterm Capacity: 717",false,Unknown,false,"",true
South Oldham Middle School,"6403 West Highway 146, , CRESTWOOD, KY  40014",CRESTWOOD,OLDHAM,KY,40014,-85.46784414,38.32675124,5022410320,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19880,"Evacuation Capacity: 0

Longterm Capacity: 195",false,Unknown,false,"",true
Saint Clement Church,"5437 Johnstown Road, , LOUISVILLE, KY  40272",LOUISVILLE,JEFFERSON,KY,40272,-85.86812431,38.12153799,5029375920,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19881,"Evacuation Capacity: 252

Longterm Capacity: 126",false,Unknown,false,"",true
Valley Creek Baptist Church,"4685 Springfield Road, , ELIZABETHTOWN, KY  42701",ELIZABETHTOWN,HARDIN,KY,42701,-85.78150292,37.69266448,2707379282,no,General Notes: AED in back hall 198 total parking spaces ground level no ramps needed 30 tables and 400 chairs available cribs and changing tables available,SHAKEN_FURY_2019_BATCH_1_ID:19882,"Evacuation Capacity: 265

Longterm Capacity: 132",false,No,false,"",true
West Broadway Baptist Church,"8420 Six Mile Lane, , LOUISVILLE, KY  40220",LOUISVILLE,JEFFERSON,KY,40220,-85.59883996,38.19877707,5024911920,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19884,"Evacuation Capacity: 476

Longterm Capacity: 238",false,No,false,"",true
White Mills Christian Camp,"154 Old Kentucky 84, , White Mills, KY  42788",White Mills,Hardin,KY,42788,-86.031103,37.5553094,2708623933,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19885,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Oldham County High School,"2520 South Highway 393, , BUCKNER, KY  40010",BUCKNER,OLDHAM,KY,40010,-85.4246,38.3699,5022229461,no,"",SHAKEN_FURY_2019_BATCH_1_ID:21365,"Evacuation Capacity: 458

Longterm Capacity: 0",false,Unknown,false,"",true
Spencer County High School,"168 Taylorsville Road, , Taylorsville, KY  40071",Taylorsville,Spencer,KY,40071,-85.34023883,38.03926205,5024773255,no,"",SHAKEN_FURY_2019_BATCH_1_ID:23590,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Creekside Elementary School,"151 Horseshoe Bend Road, , Sonora, KY  42776",Sonora,Hardin,KY,42776,-85.9011317,37.52313868,2703698460,no,General Notes: Hardin Co Dog Warden and Pound 270-769-3428 24 hr contact 911,SHAKEN_FURY_2019_BATCH_1_ID:23625,"Evacuation Capacity: 373

Longterm Capacity: 186",true,Yes,false,"",true
Hillview City Community Center & Gym,"298 Prairie Drive, , LOUISVILLE, KY  40229",LOUISVILLE,JEFFERSON,KY,40229,-85.6820129,38.0790397,5029575280,no,"",SHAKEN_FURY_2019_BATCH_1_ID:23626,"Evacuation Capacity: 225

Longterm Capacity: 112

Additional Notes: Basketball Gym with small kitchen",false,No,false,"",true
Lebanon Junction Elementary School,"10920 South Preston Highway, , LEBANON JUNCTION, KY  40150",LEBANON JUNCTION,BULLITT,KY,40150,-85.72400096,37.85343379,5028692200,no,"",SHAKEN_FURY_2019_BATCH_1_ID:23627,"Evacuation Capacity: 280

Longterm Capacity: 0",false,Unknown,false,"",true
Bardstown Junction Baptist Church,"4855 Preston Highway, , SHEPHERDSVILLE, KY  40165",SHEPHERDSVILLE,BULLITT,KY,40165,-85.6785617,38.04893746,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:23628,"Evacuation Capacity: 25

Longterm Capacity: 0",false,Unknown,false,"",true
Cedar Grove Baptist Church,"4900 Cedar Grove Road, , SHEPHERDSVILLE, KY  40165",SHEPHERDSVILLE,BULLITT,KY,40165,-85.61659741,37.97123355,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:23629,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Spencer County Elementary School,"1265 Mount Washington Road, , Taylorsville, KY  40071",Taylorsville,Spencer,KY,40071,-85.36359023,38.02861744,5024776950,no,"",SHAKEN_FURY_2019_BATCH_1_ID:23633,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
James T Alton Middle School,"100 Country Club Road, , Vine Grove, KY  40175",Vine Grove,Hardin,KY,40175,-85.98714616,37.80323561,2708772135,no,General Notes: Pet sheltering accommodations provided by Hardin County Dog Warden and Pound,SHAKEN_FURY_2019_BATCH_1_ID:23634,"Evacuation Capacity: 448

Longterm Capacity: 224",true,Yes,false,"",true
Overdale United Methodist Church,"515 Overdale Drive, , LOUISVILLE, KY  40229",LOUISVILLE,JEFFERSON,KY,40229,-85.68184477,38.08207,5029574567,no,"",SHAKEN_FURY_2019_BATCH_1_ID:23755,"Evacuation Capacity: 120

Longterm Capacity: 60",false,No,false,"",true
Pleasant Grove Baptist Church,"5285 Highway 44 East, , SHEPHERDSVILLE, KY  40165",SHEPHERDSVILLE,BULLITT,KY,40165,-85.62453378,38.02384511,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:23756,"Evacuation Capacity: 180

Longterm Capacity: 0",false,Unknown,false,"",true
North Hardin High School,"801 South Logsdon Parkway, , Radcliff, KY  40160",Radcliff,Hardin,KY,40160,-85.94728878,37.82436187,2703515254,no,"",SHAKEN_FURY_2019_BATCH_1_ID:23757,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Paul G Blazer High School,"1500 Blazer Boulavard, , ASHLAND, KY  41102",ASHLAND,BOYD,KY,41102,-82.66281181,38.45511602,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:31708,"Evacuation Capacity: 100

Longterm Capacity: 100",false,Unknown,false,"",true
Delete Danville-Boyle County Humane Society,"777 NORTH DANVILLE BYPASS, , Danville, KY  40422",Danville,Boyle,KY,40422,-84.79677563,37.65730308,8592381117,no,"",SHAKEN_FURY_2019_BATCH_1_ID:31710,"Evacuation Capacity: 1

Longterm Capacity: 0",true,Yes,false,"",true
Ramey-Estep High School,"2901 West Pidgeon Roost Road, , Rush, KY  41168",Rush,Boyd,KY,41168,-82.7700248,38.2931919,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:31711,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
HANCOCK ELEMENTARY SCHOOL,"300 FRANK LITTRELL ROAD, , Lewisport, KY  42351",Lewisport,Hancock,KY,42351,-86.85582783,37.92562274,2709276914,no,"",SHAKEN_FURY_2019_BATCH_1_ID:31712,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
East Carter Middle School,"1 Spirit Lane, , Grayson, KY  41143",Grayson,Carter,KY,41143,-82.9383682,38.336373,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:31713,"Evacuation Capacity: 40

Longterm Capacity: 40",false,Unknown,false,"",true
Albany Elementary School,"819 Third Street, , Albany, KY  42602",Albany,Clinton,KY,42602,-85.1414578,36.6973256,6063875828,no,"",SHAKEN_FURY_2019_BATCH_1_ID:31714,"Evacuation Capacity: 50

Longterm Capacity: 25",false,Unknown,false,"",true
Olive Hill Elementary School,"825 East Tom T Hall Boulivard, , Olive Hill, KY  41164",Olive Hill,Carter,KY,41164,-83.15280068,38.30687618,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:31730,"Evacuation Capacity: 750

Longterm Capacity: 375

Restrictions: Only when school is not in sesssion",false,Unknown,false,"",true
Prichard Elementary School,"401 East Main Street, , Grayson, KY  41143",Grayson,Carter,KY,41143,-82.94347889,38.3314301,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:31746,"Evacuation Capacity: 40

Longterm Capacity: 40",false,Unknown,false,"",true
Blaine Elementary School,"600 Highway 2562, , Blaine, KY  41124",Blaine,Lawrence,KY,41124,-82.851597,38.0287222,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:31748,"Evacuation Capacity: 40

Longterm Capacity: 40",false,Unknown,false,"",true
STURGIS KIWANIS,"715 MONROE STREET, , STURGIS, KY  42459",STURGIS,UNION,KY,42459,-87.9821464,37.5475441,2703335343,no,"Directions to Facility: 1 Block East Highway 60

General Notes: Updated agree 2011, survey 8-15",SHAKEN_FURY_2019_BATCH_1_ID:31749,"Evacuation Capacity: 18

Longterm Capacity: 0",false,Unknown,false,"",true
