field0001,field0002,field0003,field0004,field0005,field0006,field0007,field0008,field0009,field0010,field0011,field0012,field0013,field0014,field0015,field0016,field0017,field0018,field0019,field0020,field0021,field0022,field0023,field0024,field0025,field0026,field0027,field0028,field0029,field0030,field0031,field0032,field0033,field0034,field0035,field0036,field0061,field0062,field0063,field0064,field0065,field0066,field0067,field0068,field0069,field0070,field0071,field0072,field0073,field0074,field0075,field0076,field0077,field0078,field0079,field0080,field0084,field0085,field0086,field0087,field0088,field0089,field0090,field0091,field0092,field0093,field0094,field0095,field0096,field0097,field0098,field0099,field0100,field0101,field0102,field0103,field0104,field0105,field0106,field0107,field0108,field0109,field0110,field0111,field0112,field0113,field0114,field0115,field0116,field0117,field0118,field0119,field0120,field0121,field0122,field0123,field0124,field0125,field0126,field0127,field0128,field0129,field0130,field0131,field0132,field0133,field0134,field0135,field0136,field0137,field0138,field0139,field0140,field0141,field0142,field0143,field0144,field0145,field0146,field0147,field0148,field0149,field0150,field0151,field0152,field0153,field0154,field0155,field0156,field0157,field0158,field0159,field0160,field0161,field0162,field0163,field0164,field0165,field0166,field0167,field0168,field0169,field0170,field0171,field0172,field0173,field0174,field0175,field0176,field0177,field0178,field0179,field0180,field0181,field0182,field0183,field0184,field0185,field0186,field0187,field0188,field0189,field0190,field0191,field0192,field0193,field0194,field0195,field0196,field0197,field0198,field0199,field0200,field0201,field0202,field0203,field0204,field0205,field0206,field0207,field0208,field0209,field0210,field0211,field0212,field0213,field0214,field0215,field0216,field0217,field0218,field0219,field0220,field0221,field0222,field0223,field0224,field0225,field0226,field0227,field0228,field0229,field0230,field0231,field0232,field0233,field0234,field0235,field0236,field0237,field0238,field0239,field0240,field0241,field0242,field0243,field0244,field0245,field0246,field0247,field0248,field0249,field0250
31829,420748,17340,Kentucky Region,ARC,ARC Managed,,Christ United Methodist Church,Other,CHURCH,NO,,5320,0,133,,Closed,P,716 Cave Mill Road,,,BOWLING GREEN,KY,WARREN,42104,2,,YES,716 Cave Mill Road,,BOWLING GREEN,KY,42104,,,,4,,-86.468032,36.9516855,0,NO,NO,,"From Chapter, turn L on Scottsville Rd. to HWY 31W, turn L and continue to Cave Mill Rd. turn LEFT, church on LEFT",,,,9/29/10,,NO,,Either,,,Bill,NO,,,,,Philip Smith,09/29/2010 00:00:00 MDT,E. W. Schlicht,05/24/2012 00:00:00 MDT,,,YES,1,,,,,,,,NO,YES,NO,NO,YES,YES,NO,NO,0,YES,0,YES,NO,NO,YES,NO,YES,manual,NO,,,6,YES,,,7,2,7,3,4,,,,,,,,NO,NO,,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,0,0,100,100,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,,2,2,,,300,t,,t,,0,0,,,,NO,YES,YES,NO,YES,NO,YES,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/08/2015 13:59:40 MDT
31830,420748,17340,Kentucky Region,ARC,ARC Managed,,Franklin Elementary School,Other,SCHOOL,NO,,4000,200,100,,Closed,B,211 South Main Street,,,FRANKLIN,KY,SIMPSON,42134,2,Franklin-Simpson,YES,211 South Main Street,,FRANKLIN,KY,42134,,,,4,,-86.57822095,36.72097511,0,NO,NO,NO,,,,,10/26/09,,NO,,Either,,,Bill,NO,,,,,Marlene White,10/26/2009 00:00:00 MDT,,,,,YES,3,01/01/2011 06:00:01 MST,12/31/2011 15:30:01 MST,,,ONLY available when school is NOT in session,,,NO,YES,NO,NO,NO,NO,NO,NO,1,YES,0,YES,NO,NO,YES,YES,YES,manual,YES,,YES,0,,,Yes,17,2,9,2,2,5,,,,,,,NO,NO,,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,0,100,0,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,1,0,,,,,,,,1,1,YES,NO,,NO,,YES,NO,NO,NO,NO,NO,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Monica Lea,Kentucky Region,08/18/2017 09:51:20 MDT
31831,420748,17340,Kentucky Region,ARC,ARC Managed,,Franklin-Simpson High School,General,SCHOOL,NO,,6000,300,150,,Closed,B,400 South College Street,,,FRANKLIN,KY,SIMPSON,42134,2,Franklin-Simpson Public Schools,YES,400 South College Street,,FRANKLIN,KY,42134,,,,4,,-86.57873161,36.71480324,0,NO,NO,NO,,,NO,NO,10/22/09,,NO,,Either,,,Bill,,,,,,Marlene White,10/22/2009 00:00:00 MDT,,,,,YES,3,01/01/2011 06:00:01 MST,12/31/2011 15:30:01 MST,,,Available only when school is NOT in session.,,,NO,YES,NO,NO,NO,NO,NO,NO,2,YES,0,YES,NO,NO,YES,YES,YES,manual,YES,,YES,20,,,Yes,30,1,16,6,10,,,,,,,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,0,350,0,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,0,0,,,,,,,,1,0,YES,NO,,NO,,YES,NO,YES,NO,NO,NO,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Monica Lea,Kentucky Region,08/18/2017 09:53:52 MDT
31832,420748,17340,Kentucky Region,ARC,ARC Managed,,Franklin-Simpson Middle School,Other,SCHOOL,NO,,8000,400,200,,Closed,B,322 South College Street,,,FRANKLIN,KY,SIMPSON,42134,2,Franklin-Simpson,YES,322 South College Street,,FRANKLIN,KY,42134,,,,4,,-86.57986368,36.71235619,0,NO,NO,NO,,,YES,,5/20/10,,NO,,Either,,,Bill,NO,,,,,Erwin Schlicht,05/20/2010 00:00:00 MDT,,,,,YES,3,01/01/2011 06:00:01 MST,12/31/2011 15:30:01 MST,,,Availabe only when school is NOT in session,,,NO,YES,NO,NO,NO,NO,NO,NO,1,YES,150 gym,,,,YES,YES,YES,,YES,,YES,23,NO,,,21,3,10,5,5,,,,,,,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,0,400,0,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,0,0,,,,,,,,1,1,YES,NO,,NO,,YES,NO,YES,NO,NO,NO,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Monica Lea,Kentucky Region,08/18/2017 09:55:31 MDT
31833,420748,17340,Kentucky Region,ARC,ARC Managed,,Gasper River Association Of Baptists,General,ASSOCIATION,NO,,2000,100,50,,Closed,B,530 Helm Lane,,,MORGANTOWN,KY,BUTLER,42261,2,Butler County,YES,530 Helm Lane,,MORGANTOWN,KY,42261,,,,4,,-86.41683,37.1358,575,NO,NO,NO,,,NO,NO,12/27/11,,NO,,Either,,,Bill,NO,,,,,,,E. W. Schlicht,12/27/2011 00:00:00 MST,,,YES,1,,,,,,,,NO,NO,NO,YES,NO,NO,NO,NO,1,NO,0,YES,NO,NO,YES,NO,NO,,,,NO,2,,,,2,1,,1,1,,2,,,,,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,20,0,0,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,NO,,,,,,,,,,,,,,,,,,,,,YES,,,,2,2,2,2,240,,,,,,,,,,NO,YES,YES,NO,NO,NO,NO,NO,,,,,NO,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Monica Lea,Kentucky Region,08/09/2017 11:44:27 MDT
31834,420748,17340,Kentucky Region,ARC,ARC Managed,,Hillvue Heights Church,General,CHURCH,NO,,,0,150,,Closed,P,3219 Nashville Road,,,BOWLING GREEN,KY,WARREN,42101,2,Bowling Green ISD,YES,3219 Nashville Road,,BOWLING GREEN,KY,42101,,,,4,,-86.46515399,36.96617059,0,NO,NO,NO,,,NO,NO,,,NO,,Either,,,Bill,NO,,,,,,,,,,,,1,,,,,,,,NO,YES,NO,NO,NO,NO,NO,NO,2,NO,0,YES,NO,NO,YES,YES,YES,,,,YES,0,,,,10,2,,,,,,,,,,,NO,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,0,0,200,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/08/2015 14:00:41 MDT
31835,420748,17340,Kentucky Region,ARC,ARC Managed,,Lake Springs Baptist Church,General,CHURCH,NO,,,0,50,,Closed,P,1429 Lake Springs Road,,Flat Rock,FRANKLIN,KY,SIMPSON,42134,2,Franklin-Simpson,YES,1429 Lake Springs Road,,FRANKLIN,KY,42134,,,,4,,-86.58381648,36.67683641,0,NO,NO,NO,,,NO,NO,8/25/09,08/25/2009 00:00:00 MDT,NO,,Either,,,Bill,NO,,,,,Marlene White,08/25/2009 00:00:00 MDT,,,,,YES,1,,,,,,,,NO,NO,NO,YES,NO,NO,NO,NO,2,YES,0,YES,NO,NO,YES,NO,NO,,,,NO,0,,,Yes,5,1,5,2,2,,1,,,,,,NO,NO,,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,0,0,150,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,NO,,,,,,,,,,,,,,,,,,,,,YES,,,,1,0,,,,,,,,0,0,,,,NO,,YES,NO,NO,NO,NO,NO,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/08/2015 13:53:22 MDT
31836,420748,17340,Kentucky Region,ARC,ARC Managed,,Lincoln Elementary School,General,SCHOOL,NO,,,0,400,,Closed,P,601 John J Johnson Avenue,,,FRANKLIN,KY,SIMPSON,42134,2,Franklin-Simpson,YES,601 John J Johnson Avenue,,FRANKLIN,KY,42134,,,,4,,-86.58329945,36.72770132,0,NO,NO,NO,,,NO,NO,10/26/09,,NO,,Either,,,Bill,NO,,,,,Marlene White,10/26/2009 00:00:00 MDT,,,,,YES,3,01/01/2011 06:00:01 MST,12/31/2011 15:30:01 MST,,,Available when school is NOT in session,,,NO,YES,NO,NO,NO,NO,NO,NO,1,YES,0,YES,NO,NO,YES,YES,YES,,YES,,YES,3,,,Yes,40,1,37,17,17,,3,,,,,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,0,300,40,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,1,1,,,,,,,,1,1,YES,NO,,NO,,YES,NO,NO,NO,,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/08/2015 13:53:36 MDT
31837,420748,17340,Kentucky Region,ARC,ARC Managed,,Living Hope Baptist Church,General,CHURCH,NO,,15400,770,385,Main,Closed,B,1805 Westen,,,BOWLING GREEN,KY,WARREN,42104,2,Bowling Green ISD,YES,1805 Westen,,BOWLING GREEN,KY,42104,2078439462,,,4,,-86.453158,36.9604876,0,NO,NO,NO,,"CHILDRENS OFFICES TO BE USED IF NEEDED-MUST BE RETURNED TO PREVIOUS STATE IF CHURCH ACTIVITIES REQUIRE USE. 3 KITCHENS,SECOND BUILDING PORTION-ELECTRIC, ALMOST ALL DOORS HANDICAP ACCESSIBLE",NO,NO,10/3/12,,NO,,Either,,,Bill,NO,,,,,J. VINCENT/B. SCHLICHT,06/13/2012 00:00:00 MDT,J. VINCENT,10/03/2012 00:00:00 MDT,,,YES,1,,,,,,270-392-1215,CHURCH ADMINISTRATOR,NO,YES,NO,NO,YES,NO,NO,NO,2,NO,0,YES,NO,NO,YES,YES,YES,,YES,,YES,6,NO,no,yes,18,51,,7,7,2,2,DAN,EDMONDSON,,2708439462,,NO,NO,,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,YES,YES,,250,150,400,"MAIN AREA IN LARGE ROOM OF HS WING, ALT AREAS (MIDDLE SCHOOL ROOM) WOULD BE AVAILABLE IF NECESSARY",YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,,24,,,,,t,"4 CHANGING TABLES AVAIL, IN RESTROOMS, ACTUAL CHILDRENS SUPPLIES VERY LIMITED",t,,1,1,YES,NO,LIMITED ACCESS. PROBABLY ONLY NEED TO BE USED FOR TOWELS.,NO,YES,YES,NO,NO,NO,NO,NO,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Shaun Tarkington,Kentucky Region,08/03/2017 07:53:22 MDT
31839,420748,17340,Kentucky Region,ARC,ARC Managed,,Rich Pond Baptist Church,General,CHURCH,NO,,10000,0,250,,Closed,P,200 Brad Avenue,,Rich Pond,BOWLING GREEN,KY,WARREN,42104,2,South Warren,YES,200 Brad Avenue,,BOWLING GREEN,KY,42104,,,,4,,-86.5125165,36.898527,0,NO,NO,NO,"From BG proceed South on Hwy 31W.  Turn left at Rich Pond-Rockfield Road.  Turn Left at Odeans Mayes Rd, then turn right onto Brad St.",,NO,NO,3/9/10,,NO,,Either,,,Bill,NO,,,,,Sharon Durie,03/09/2010 00:00:00 MST,E. W. Schlicht,05/24/2012 00:00:00 MDT,,,YES,1,,,,,,,,NO,YES,NO,NO,YES,NO,NO,NO,1,YES,0,YES,NO,NO,YES,YES,YES,,YES,,NO,0,,,yes,30,4,31,6,6,7,12,,,,,,NO,NO,,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,0,0,250,,,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,,0,0,,,,t,,t,,0,0,,,,NO,YES,YES,NO,NO,NO,NO,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/09/2015 06:57:47 MDT
31840,420748,17340,Kentucky Region,ARC,ARC Managed,,Saint Mary's Catholic Church,General,CHURCH,NO,,,0,75,,Closed,P,403 North Main Street,,,FRANKLIN,KY,SIMPSON,42134,2,Franklin-Simpson,YES,403 North Main Street,,FRANKLIN,KY,42134,,,,4,,-86.577451,36.72492141,0,,,NO,,,NO,NO,8/7/09,,NO,,Either,,,Bill,NO,,,,,Marlene White,08/07/2009 00:00:00 MDT,,,,,YES,1,,,,,,,,NO,YES,NO,NO,NO,NO,NO,NO,2,NO,0,YES,NO,NO,YES,NO,YES,,,,NO,0,,,,6,2,5,2,3,,,,,,,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,0,0,200,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,1,2,,,,,,,,0,0,,,,,,YES,NO,NO,NO,NO,NO,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/08/2015 13:56:18 MDT
31841,420748,17340,Kentucky Region,ARC,ARC Managed,,State Street Baptist Church,General,CHURCH,NO,,2400,100,50,,Closed,B,340 State Street,,Shake Rag,BOWLING GREEN,KY,WARREN,42101,2,Bowling Green ISD,YES,340 State Street,,BOWLING GREEN,KY,42101,,,,4,,-86.43334,36.997483,0,NO,NO,NO,"From ARC turn left on Scottsville Rd, straight to State St, Right on State to 4th St, church is on Right.",,NO,NO,10/3/12,,NO,,Either,"FOR USE AS SMALL SHELTER, PREFERABLY WILL BE USED AS KITCHEN FACILITY",NONE,Bill,NO,,,,,JASON VINCENT,10/03/2012 00:00:00 MDT,JASON VINCENT,10/03/2012 00:00:00 MDT,P. Smith,06/01/2012 00:00:00 MDT,YES,1,,,,,"IF USED AS SHELTER, SANCTUARY MORE THAN LIKELY WOULDN'T BE USED UNLESS EVAC SHELTER NECESSARY, OTHERWISE CAFETERIA TO BE USED AS DORM.",(CELL)783-1436,FACILITY ADMINISTRATOR,NO,YES,NO,NO,NO,YES,NO,NO,3,NO,0,YES,NO,NO,YES,YES,YES,,YES,,NO,0,,no,yes,341,11,9,3,3,,3,JAMES,HOCKERSMITH,,2708138016,,NO,NO,,YES,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,0,0,2025,,ICE MACHINE ALSO AVAILABLE. FEEDING WOULD BE LIMITED AREA IF USED AS SHELTER. APPROX 300 MEALS CAN BE SERVED.,YES,NO,YES,YES,"PARKING VERY DIFFICULT, HAS ACCESS RAMPS LEADING TO TWO ENTRANCES",YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,,2,0,,4,,f,,t,,0,0,,,,NO,YES,YES,NO,NO,NO,NO,NO,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/09/2015 06:59:13 MDT
31842,420748,17340,Kentucky Region,ARC,ARC Managed,,Warren Central High School,General,SCHOOL,NO,,5000,0,125,,Closed,P,559 Morgantown Road,,,BOWLING GREEN,KY,WARREN,42101,2,,YES,559 Morgantown Road,,BOWLING GREEN,KY,42101,,,,4,,-86.46983497,36.98390505,0,NO,NO,NO,L on CENTER ST. R onto E 6TH AVE/KY-234 N. Take 1st LEFT -KY ST/US-68/KY-80/ADAMS ST. Turn RIGHT onto US-231-BR/US-68-BR. Turn SLIGHT RIGHT onto MORGANTOWN RD/US-231-BR. school is on LEFT,,NO,NO,8/16/04,,NO,,Either,,,Bill,,,,,,Sandra Scott,08/16/2004 00:00:00 MDT,,,,,YES,1,,,,,,,,NO,YES,NO,NO,YES,YES,NO,NO,2,YES,150' gym,YES,YES,NO,YES,YES,YES,,,,YES,20,,,,31,1,30,15,15,,,,,,,,NO,NO,,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,0,400,0,,,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,,1,2,,,113,,,,,6,4,YES,,Oversized Industrial laundry facilities,NO,,YES,NO,YES,NO,NO,,,,,,YES,kitchen staff,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/09/2015 07:00:27 MDT
31843,420748,17340,Kentucky Region,ARC,ARC Managed,,Boyd County High School,General,SCHOOL,NO,,,60,60,,Closed,B,12307 Midland Trail Road,,,Ashland,KY,Boyd,41101,7,,NO,12307 MIDLAND TRAIL ROAD,,Ashland,KY,41101,,,,4,,-82.70444682,38.3758786,0,,,,,,,,,,,,Either,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/06/2015 06:36:55 MDT
31844,420748,17340,Kentucky Region,ARC,ARC Managed,,Boyd County Middle School,General,SCHOOL,NO,,,60,60,,Closed,B,1226 Summit Road,,,Ashland,KY,Boyd,41101,7,,NO,1226 SUMMIT ROAD,,Ashland,KY,41101,,,,4,,-82.6933194,38.4326978,0,,,,,,,,,,,,Either,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Melissa Kaplan,National Headquarters (Do not affiliate with Shelters),10/01/2017 11:46:27 MDT
31845,420748,17340,Kentucky Region,ARC,ARC Managed,,Cannonsburg Elementary School,General,SCHOOL,NO,,,40,40,,Closed,B,12219 Midland Trail Road,,,Ashland,KY,Boyd,41102,7,,YES,12219 Midland Trail Road,,Ashland,KY,41102,,,,4,,-82.70349609,38.37680039,0,,,,,,,,,,,,Either,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/06/2015 06:37:22 MDT
31846,420748,17340,Kentucky Region,ARC,ARC Managed,,Carter Elementary School,General,BUILDING IS CLOSED DOWN.    CANNOT USE THIS BUILDING.,NO,,,40,40,,Closed,B,12594 State Highway 2,,,Olive Hill,KY,Carter,41164,7,,NO,228 South Carol Malone Boulevard,,GRAYSON,KY,41143,,,,4,,-83.20859854,38.32622624,0,,,,CLOSED BUILDING.  CANNOT BE USED.,CLOSED BUILDING.  CANNOT BE USED.,,,9/21/16,09/21/2016 00:00:00 MDT,NO,,Either,,,Emerson,YES,,606-432-4383-office,DPS,,,,,,,,,1,,,,,This facility can only be used as a shelter if there is no school,,,NO,YES,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,boyd varney,Kentucky Region,04/25/2017 08:53:55 MDT
31847,420748,17340,Kentucky Region,ARC,ARC Managed,,East Carter High School,General,SCHOOL,NO,,60000,3000,1500,Principal office phone,Closed,B,405 Hitchins Road,,,Grayson,KY,Carter,41143,7,Carter County,NO,228 South Carol Malone Boulevard,,Grayson,KY,41143,6064745714,,,4,,-82.93054065,38.32625649,0,,,NO,,Available when school is not in session,,,4/10/17,09/16/2016 00:00:00 MDT,NO,,Either,,,Emerson,,,606-432-4383-office,DPS,,Trissia Scott,04/10/2017 00:00:00 MDT,Emerson Varney,04/25/2017 00:00:00 MDT,,,YES,1,,,,,Available only if there is no school,,,NO,YES,NO,NO,YES,NO,NO,NO,0,,0,YES,,,YES,YES,YES,,YES,,YES,12,NO,,,8,,,,,,,,,,,,,,,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,0,90,0,,,NO,YES,YES,YES,,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,8,8,YES,NO,,YES,NO,NO,NO,YES,NO,NO,NO,,NO,,NO,NO,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,boyd varney,Kentucky Region,04/25/2017 13:17:33 MDT
31848,420748,17340,Kentucky Region,ARC,ARC Managed,,Heritage Elementary School,General,SCHOOL,NO,,4200,210,105,,Closed,B,4863 South State Highway 1,,,Grayson,KY,Carter,41143,7,,NO,228 South Carol Malone Boulevard,,Grayson,KY,41143,,,,4,,-82.9142913,38.2649003,0,NO,,NO,,Can be used when school is not in session,,,,,,,Either,,,,YES,,,,,Trissia Scott,04/10/2017 00:00:00 MDT,Emerson Varney,04/25/2017 00:00:00 MDT,,,YES,1,,,,,Only in emergency or school not in session,,,NO,YES,NO,NO,NO,NO,NO,NO,0,,0,YES,,,YES,YES,YES,,YES,,YES,2,NO,,,20,,,,,,,,,,,,NO,NO,,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,0,193,0,,,YES,YES,YES,YES,,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,2,2,YES,,,YES,NO,NO,NO,YES,NO,NO,NO,,NO,,NO,NO,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,boyd varney,Kentucky Region,04/25/2017 13:10:22 MDT
31849,420748,17340,Kentucky Region,ARC,ARC Managed,,Lawrence County High School,General,SCHOOL,NO,,,90,90,,Closed,B,100 Bulldog Lane,,,Louisa,KY,Lawrence,41230,7,,NO,100 BULLDOG LANE,,Louisa,KY,41230,,,,4,,-82.60575208,38.0951353,0,,,,,,,,,,,,Either,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,08/01/2006 15:34:47 MDT,Paul Kern,Kentucky Region,10/05/2015 15:30:59 MDT
